"noindex","log1","lat1","log2","lat2","log3","lat3","log4","lat4","row","col","centerlog","centerlat","area"
1,121.457,25.12,121.462,25.12,121.457,25.125,121.462,25.125,33,1,121.4595,25.1225,"beitou"
2,121.462,25.12,121.467,25.12,121.462,25.125,121.467,25.125,33,2,121.4645,25.1225,"beitou"
3,121.467,25.12,121.472,25.12,121.467,25.125,121.472,25.125,33,3,121.4695,25.1225,"beitou"
4,121.472,25.12,121.477,25.12,121.472,25.125,121.477,25.125,33,4,121.4745,25.1225,"beitou"
5,121.477,25.12,121.482,25.12,121.477,25.125,121.482,25.125,33,5,121.4795,25.1225,"beitou"
6,121.482,25.12,121.487,25.12,121.482,25.125,121.487,25.125,33,6,121.4845,25.1225,"beitou"
7,121.487,25.12,121.492,25.12,121.487,25.125,121.492,25.125,33,7,121.4895,25.1225,"beitou"
8,121.492,25.12,121.497,25.12,121.492,25.125,121.497,25.125,33,8,121.4945,25.1225,"beitou"
9,121.497,25.12,121.502,25.12,121.497,25.125,121.502,25.125,33,9,121.4995,25.1225,"beitou"
10,121.502,25.12,121.507,25.12,121.502,25.125,121.507,25.125,33,10,121.5045,25.1225,"beitou"
11,121.507,25.12,121.512,25.12,121.507,25.125,121.512,25.125,33,11,121.5095,25.1225,"beitou"
12,121.512,25.12,121.517,25.12,121.512,25.125,121.517,25.125,33,12,121.5145,25.1225,"beitou"
13,121.517,25.12,121.522,25.12,121.517,25.125,121.522,25.125,33,13,121.5195,25.1225,"beitou"
14,121.462,25.125,121.467,25.125,121.462,25.13,121.467,25.13,34,2,121.4645,25.1275,"beitou"
15,121.467,25.125,121.472,25.125,121.467,25.13,121.472,25.13,34,3,121.4695,25.1275,"beitou"
16,121.472,25.125,121.477,25.125,121.472,25.13,121.477,25.13,34,4,121.4745,25.1275,"beitou"
17,121.477,25.125,121.482,25.125,121.477,25.13,121.482,25.13,34,5,121.4795,25.1275,"beitou"
18,121.482,25.125,121.487,25.125,121.482,25.13,121.487,25.13,34,6,121.4845,25.1275,"beitou"
19,121.487,25.125,121.492,25.125,121.487,25.13,121.492,25.13,34,7,121.4895,25.1275,"beitou"
20,121.492,25.125,121.497,25.125,121.492,25.13,121.497,25.13,34,8,121.4945,25.1275,"beitou"
21,121.497,25.125,121.502,25.125,121.497,25.13,121.502,25.13,34,9,121.4995,25.1275,"beitou"
22,121.502,25.125,121.507,25.125,121.502,25.13,121.507,25.13,34,10,121.5045,25.1275,"beitou"
23,121.507,25.125,121.512,25.125,121.507,25.13,121.512,25.13,34,11,121.5095,25.1275,"beitou"
24,121.512,25.125,121.517,25.125,121.512,25.13,121.517,25.13,34,12,121.5145,25.1275,"beitou"
25,121.517,25.125,121.522,25.125,121.517,25.13,121.522,25.13,34,13,121.5195,25.1275,"beitou"
26,121.522,25.125,121.527,25.125,121.522,25.13,121.527,25.13,34,14,121.5245,25.1275,"beitou"
27,121.462,25.13,121.467,25.13,121.462,25.135,121.467,25.135,35,2,121.4645,25.1325,"beitou"
28,121.467,25.13,121.472,25.13,121.467,25.135,121.472,25.135,35,3,121.4695,25.1325,"beitou"
29,121.472,25.13,121.477,25.13,121.472,25.135,121.477,25.135,35,4,121.4745,25.1325,"beitou"
30,121.477,25.13,121.482,25.13,121.477,25.135,121.482,25.135,35,5,121.4795,25.1325,"beitou"
31,121.482,25.13,121.487,25.13,121.482,25.135,121.487,25.135,35,6,121.4845,25.1325,"beitou"
32,121.487,25.13,121.492,25.13,121.487,25.135,121.492,25.135,35,7,121.4895,25.1325,"beitou"
33,121.492,25.13,121.497,25.13,121.492,25.135,121.497,25.135,35,8,121.4945,25.1325,"beitou"
34,121.497,25.13,121.502,25.13,121.497,25.135,121.502,25.135,35,9,121.4995,25.1325,"beitou"
35,121.502,25.13,121.507,25.13,121.502,25.135,121.507,25.135,35,10,121.5045,25.1325,"beitou"
36,121.507,25.13,121.512,25.13,121.507,25.135,121.512,25.135,35,11,121.5095,25.1325,"beitou"
37,121.512,25.13,121.517,25.13,121.512,25.135,121.517,25.135,35,12,121.5145,25.1325,"beitou"
38,121.517,25.13,121.522,25.13,121.517,25.135,121.522,25.135,35,13,121.5195,25.1325,"beitou"
39,121.522,25.13,121.527,25.13,121.522,25.135,121.527,25.135,35,14,121.5245,25.1325,"beitou"
40,121.467,25.135,121.472,25.135,121.467,25.14,121.472,25.14,36,3,121.4695,25.1375,"beitou"
41,121.472,25.135,121.477,25.135,121.472,25.14,121.477,25.14,36,4,121.4745,25.1375,"beitou"
42,121.477,25.135,121.482,25.135,121.477,25.14,121.482,25.14,36,5,121.4795,25.1375,"beitou"
43,121.482,25.135,121.487,25.135,121.482,25.14,121.487,25.14,36,6,121.4845,25.1375,"beitou"
44,121.487,25.135,121.492,25.135,121.487,25.14,121.492,25.14,36,7,121.4895,25.1375,"beitou"
45,121.492,25.135,121.497,25.135,121.492,25.14,121.497,25.14,36,8,121.4945,25.1375,"beitou"
46,121.497,25.135,121.502,25.135,121.497,25.14,121.502,25.14,36,9,121.4995,25.1375,"beitou"
47,121.502,25.135,121.507,25.135,121.502,25.14,121.507,25.14,36,10,121.5045,25.1375,"beitou"
48,121.507,25.135,121.512,25.135,121.507,25.14,121.512,25.14,36,11,121.5095,25.1375,"beitou"
49,121.512,25.135,121.517,25.135,121.512,25.14,121.517,25.14,36,12,121.5145,25.1375,"beitou"
50,121.517,25.135,121.522,25.135,121.517,25.14,121.522,25.14,36,13,121.5195,25.1375,"beitou"
51,121.522,25.135,121.527,25.135,121.522,25.14,121.527,25.14,36,14,121.5245,25.1375,"beitou"
52,121.472,25.14,121.477,25.14,121.472,25.145,121.477,25.145,37,4,121.4745,25.1425,"beitou"
53,121.477,25.14,121.482,25.14,121.477,25.145,121.482,25.145,37,5,121.4795,25.1425,"beitou"
54,121.482,25.14,121.487,25.14,121.482,25.145,121.487,25.145,37,6,121.4845,25.1425,"beitou"
55,121.487,25.14,121.492,25.14,121.487,25.145,121.492,25.145,37,7,121.4895,25.1425,"beitou"
56,121.492,25.14,121.497,25.14,121.492,25.145,121.497,25.145,37,8,121.4945,25.1425,"beitou"
57,121.497,25.14,121.502,25.14,121.497,25.145,121.502,25.145,37,9,121.4995,25.1425,"beitou"
58,121.502,25.14,121.507,25.14,121.502,25.145,121.507,25.145,37,10,121.5045,25.1425,"beitou"
59,121.507,25.14,121.512,25.14,121.507,25.145,121.512,25.145,37,11,121.5095,25.1425,"beitou"
60,121.512,25.14,121.517,25.14,121.512,25.145,121.517,25.145,37,12,121.5145,25.1425,"beitou"
61,121.517,25.14,121.522,25.14,121.517,25.145,121.522,25.145,37,13,121.5195,25.1425,"beitou"
62,121.522,25.14,121.527,25.14,121.522,25.145,121.527,25.145,37,14,121.5245,25.1425,"beitou"
63,121.527,25.14,121.532,25.14,121.527,25.145,121.532,25.145,37,15,121.5295,25.1425,"beitou"
64,121.532,25.14,121.537,25.14,121.532,25.145,121.537,25.145,37,16,121.5345,25.1425,"beitou"
65,121.477,25.145,121.482,25.145,121.477,25.15,121.482,25.15,38,5,121.4795,25.1475,"beitou"
66,121.482,25.145,121.487,25.145,121.482,25.15,121.487,25.15,38,6,121.4845,25.1475,"beitou"
67,121.487,25.145,121.492,25.145,121.487,25.15,121.492,25.15,38,7,121.4895,25.1475,"beitou"
68,121.492,25.145,121.497,25.145,121.492,25.15,121.497,25.15,38,8,121.4945,25.1475,"beitou"
69,121.497,25.145,121.502,25.145,121.497,25.15,121.502,25.15,38,9,121.4995,25.1475,"beitou"
70,121.502,25.145,121.507,25.145,121.502,25.15,121.507,25.15,38,10,121.5045,25.1475,"beitou"
71,121.507,25.145,121.512,25.145,121.507,25.15,121.512,25.15,38,11,121.5095,25.1475,"beitou"
72,121.512,25.145,121.517,25.145,121.512,25.15,121.517,25.15,38,12,121.5145,25.1475,"beitou"
73,121.517,25.145,121.522,25.145,121.517,25.15,121.522,25.15,38,13,121.5195,25.1475,"beitou"
