address,avgspeed,carport,lat,lon,pk,totalvol,time
成功路2段312巷(單號,53,4,25.067181,121.590524,VQ6WK40,26,2015-11-20 02:46:22.103
三重路19-4號對面人行道上,70,2,25.056748,121.614052,VMQ4C40,4,2015-11-20 02:46:22.103
民權東路六段(防災科學教育館對面,32,4,25.068872,121.589878,VQKWL60,2,2015-11-20 02:46:22.103
莒光路219號前,51,2,25.031081,121.501328,VH7E720,3,2015-11-20 02:46:22.103
師大路入口匝道起點,38,1,25.020425,121.522924,V4291E0,5,2015-11-20 02:46:22.103
研究院路3段37號對面人行道上,70,1,25.035073,121.615966,VHX4E40,1,2015-11-20 02:46:22.103
基湖路39號前,47,3,25.079642,121.564423,VSPRA40,4,2015-11-20 02:46:22.103
離中山橋上游約170公尺,44,3,25.071741,121.527246,VN0F0E1,23,2015-11-20 02:46:22.103
忠誠路一段98號前,16,6,25.105135,121.528083,VZAJE60,43,2015-11-20 02:46:22.103
離國興路1巷下游約60公尺,52,2,25.019913,121.504047,V4060G0,14,2015-11-20 02:46:22.103
仰德大道三段與永公路口往北約300M處(附掛路燈桿,65,2,25.115912,121.551104,V3UNW00,9,2015-11-20 02:46:22.103
入口匝道起點,0,1,25.069,121.528056,VN0F0E0,0,2015-11-20 02:46:22.103
離林森北路119巷下游約30公尺,0,1,25.050861,121.528056,VN2C0E0,0,2015-11-20 02:46:22.103
北投13號下匝道至出口處(高架式車輛偵測器,0,3,25.111403,121.498621,V8040A0,0,2015-11-20 02:46:22.103
新生北路二段28巷前,32,2,25.054056,121.527056,VN2C0E1,1,2015-11-20 02:46:22.103
杭州南路二段67之2號前,19,2,25.029636,121.52227,VHFHV00,1,2015-11-20 02:46:22.103
北投13號下匝道至出口處(北上中間段,87,3,25.116564,121.499922,V8040A1,9,2015-11-20 02:46:22.103
大度路二段立德路往東約300M,67,3,25.122434,121.47438,V58AH60,22,2015-11-20 02:46:22.103
離新生北路120巷下游約45公尺,73,1,25.049056,121.528861,VN2C0E2,5,2015-11-20 02:46:22.103
萬板橋橋上出城門架(環快上方,63,2,25.030509,121.488036,VGKBM20,14,2015-11-20 02:46:22.103
堤頂舊宗,73,2,25.059158,121.585173,V6150C1,12,2015-11-20 02:46:22.103
信義支線隧道內1+950,74,3,25.016175,121.578569,V9250A2,12,2015-11-20 02:46:22.103
堤頂舊宗,79,2,25.057204,121.581546,V6150C0,14,2015-11-20 02:46:22.103
起點端至忠孝橋下匝道,62,2,25.050717,121.506522,V5250E0,54,2015-11-20 02:46:22.103
民族東路10號對面人行道上,49,3,25.068561,121.523396,VQFHV60,19,2015-11-20 02:46:22.103
光復北路-富錦街口對面人行道上,23,2,25.060404,121.554473,VNXPC00,2,2015-11-20 02:46:22.103
光復南路35-1號前,45,4,25.046498,121.557622,VKLPX00,23,2015-11-20 02:46:22.103
