"noindex","log1","lat1","log2","lat2","log3","lat3","log4","lat4","row","col","centerlog","centerlat"
1,121.557,24.96,121.562,24.96,121.557,24.965,121.562,24.965,1,21,121.5595,24.9625
2,121.562,24.96,121.567,24.96,121.562,24.965,121.567,24.965,1,22,121.5645,24.9625
3,121.567,24.96,121.572,24.96,121.567,24.965,121.572,24.965,1,23,121.5695,24.9625
4,121.572,24.96,121.577,24.96,121.572,24.965,121.577,24.965,1,24,121.5745,24.9625
5,121.577,24.96,121.582,24.96,121.577,24.965,121.582,24.965,1,25,121.5795,24.9625
6,121.582,24.96,121.587,24.96,121.582,24.965,121.587,24.965,1,26,121.5845,24.9625
7,121.587,24.96,121.592,24.96,121.587,24.965,121.592,24.965,1,27,121.5895,24.9625
8,121.592,24.96,121.597,24.96,121.592,24.965,121.597,24.965,1,28,121.5945,24.9625
9,121.597,24.96,121.602,24.96,121.597,24.965,121.602,24.965,1,29,121.5995,24.9625
10,121.602,24.96,121.607,24.96,121.602,24.965,121.607,24.965,1,30,121.6045,24.9625
11,121.607,24.96,121.612,24.96,121.607,24.965,121.612,24.965,1,31,121.6095,24.9625
12,121.557,24.965,121.562,24.965,121.557,24.97,121.562,24.97,2,21,121.5595,24.9675
13,121.562,24.965,121.567,24.965,121.562,24.97,121.567,24.97,2,22,121.5645,24.9675
14,121.567,24.965,121.572,24.965,121.567,24.97,121.572,24.97,2,23,121.5695,24.9675
15,121.572,24.965,121.577,24.965,121.572,24.97,121.577,24.97,2,24,121.5745,24.9675
16,121.577,24.965,121.582,24.965,121.577,24.97,121.582,24.97,2,25,121.5795,24.9675
17,121.582,24.965,121.587,24.965,121.582,24.97,121.587,24.97,2,26,121.5845,24.9675
18,121.587,24.965,121.592,24.965,121.587,24.97,121.592,24.97,2,27,121.5895,24.9675
19,121.592,24.965,121.597,24.965,121.592,24.97,121.597,24.97,2,28,121.5945,24.9675
20,121.597,24.965,121.602,24.965,121.597,24.97,121.602,24.97,2,29,121.5995,24.9675
21,121.602,24.965,121.607,24.965,121.602,24.97,121.607,24.97,2,30,121.6045,24.9675
22,121.607,24.965,121.612,24.965,121.607,24.97,121.612,24.97,2,31,121.6095,24.9675
23,121.612,24.965,121.617,24.965,121.612,24.97,121.617,24.97,2,32,121.6145,24.9675
24,121.617,24.965,121.622,24.965,121.617,24.97,121.622,24.97,2,33,121.6195,24.9675
25,121.552,24.97,121.557,24.97,121.552,24.975,121.557,24.975,3,20,121.5545,24.9725
26,121.557,24.97,121.562,24.97,121.557,24.975,121.562,24.975,3,21,121.5595,24.9725
27,121.562,24.97,121.567,24.97,121.562,24.975,121.567,24.975,3,22,121.5645,24.9725
28,121.567,24.97,121.572,24.97,121.567,24.975,121.572,24.975,3,23,121.5695,24.9725
29,121.572,24.97,121.577,24.97,121.572,24.975,121.577,24.975,3,24,121.5745,24.9725
30,121.577,24.97,121.582,24.97,121.577,24.975,121.582,24.975,3,25,121.5795,24.9725
31,121.582,24.97,121.587,24.97,121.582,24.975,121.587,24.975,3,26,121.5845,24.9725
32,121.587,24.97,121.592,24.97,121.587,24.975,121.592,24.975,3,27,121.5895,24.9725
33,121.592,24.97,121.597,24.97,121.592,24.975,121.597,24.975,3,28,121.5945,24.9725
34,121.597,24.97,121.602,24.97,121.597,24.975,121.602,24.975,3,29,121.5995,24.9725
35,121.602,24.97,121.607,24.97,121.602,24.975,121.607,24.975,3,30,121.6045,24.9725
36,121.607,24.97,121.612,24.97,121.607,24.975,121.612,24.975,3,31,121.6095,24.9725
37,121.612,24.97,121.617,24.97,121.612,24.975,121.617,24.975,3,32,121.6145,24.9725
38,121.617,24.97,121.622,24.97,121.617,24.975,121.622,24.975,3,33,121.6195,24.9725
39,121.552,24.975,121.557,24.975,121.552,24.98,121.557,24.98,4,20,121.5545,24.9775
40,121.557,24.975,121.562,24.975,121.557,24.98,121.562,24.98,4,21,121.5595,24.9775
41,121.562,24.975,121.567,24.975,121.562,24.98,121.567,24.98,4,22,121.5645,24.9775
42,121.567,24.975,121.572,24.975,121.567,24.98,121.572,24.98,4,23,121.5695,24.9775
43,121.572,24.975,121.577,24.975,121.572,24.98,121.577,24.98,4,24,121.5745,24.9775
44,121.577,24.975,121.582,24.975,121.577,24.98,121.582,24.98,4,25,121.5795,24.9775
45,121.582,24.975,121.587,24.975,121.582,24.98,121.587,24.98,4,26,121.5845,24.9775
46,121.587,24.975,121.592,24.975,121.587,24.98,121.592,24.98,4,27,121.5895,24.9775
47,121.592,24.975,121.597,24.975,121.592,24.98,121.597,24.98,4,28,121.5945,24.9775
48,121.597,24.975,121.602,24.975,121.597,24.98,121.602,24.98,4,29,121.5995,24.9775
49,121.602,24.975,121.607,24.975,121.602,24.98,121.607,24.98,4,30,121.6045,24.9775
50,121.542,24.98,121.547,24.98,121.542,24.985,121.547,24.985,5,18,121.5445,24.9825
51,121.547,24.98,121.552,24.98,121.547,24.985,121.552,24.985,5,19,121.5495,24.9825
52,121.552,24.98,121.557,24.98,121.552,24.985,121.557,24.985,5,20,121.5545,24.9825
53,121.557,24.98,121.562,24.98,121.557,24.985,121.562,24.985,5,21,121.5595,24.9825
54,121.562,24.98,121.567,24.98,121.562,24.985,121.567,24.985,5,22,121.5645,24.9825
55,121.567,24.98,121.572,24.98,121.567,24.985,121.572,24.985,5,23,121.5695,24.9825
56,121.572,24.98,121.577,24.98,121.572,24.985,121.577,24.985,5,24,121.5745,24.9825
57,121.577,24.98,121.582,24.98,121.577,24.985,121.582,24.985,5,25,121.5795,24.9825
58,121.582,24.98,121.587,24.98,121.582,24.985,121.587,24.985,5,26,121.5845,24.9825
59,121.587,24.98,121.592,24.98,121.587,24.985,121.592,24.985,5,27,121.5895,24.9825
60,121.592,24.98,121.597,24.98,121.592,24.985,121.597,24.985,5,28,121.5945,24.9825
61,121.597,24.98,121.602,24.98,121.597,24.985,121.602,24.985,5,29,121.5995,24.9825
62,121.522,24.985,121.527,24.985,121.522,24.99,121.527,24.99,6,14,121.5245,24.9875
63,121.527,24.985,121.532,24.985,121.527,24.99,121.532,24.99,6,15,121.5295,24.9875
64,121.532,24.985,121.537,24.985,121.532,24.99,121.537,24.99,6,16,121.5345,24.9875
65,121.537,24.985,121.542,24.985,121.537,24.99,121.542,24.99,6,17,121.5395,24.9875
66,121.542,24.985,121.547,24.985,121.542,24.99,121.547,24.99,6,18,121.5445,24.9875
67,121.547,24.985,121.552,24.985,121.547,24.99,121.552,24.99,6,19,121.5495,24.9875
68,121.552,24.985,121.557,24.985,121.552,24.99,121.557,24.99,6,20,121.5545,24.9875
69,121.557,24.985,121.562,24.985,121.557,24.99,121.562,24.99,6,21,121.5595,24.9875
70,121.562,24.985,121.567,24.985,121.562,24.99,121.567,24.99,6,22,121.5645,24.9875
71,121.567,24.985,121.572,24.985,121.567,24.99,121.572,24.99,6,23,121.5695,24.9875
72,121.572,24.985,121.577,24.985,121.572,24.99,121.577,24.99,6,24,121.5745,24.9875
73,121.577,24.985,121.582,24.985,121.577,24.99,121.582,24.99,6,25,121.5795,24.9875
74,121.582,24.985,121.587,24.985,121.582,24.99,121.587,24.99,6,26,121.5845,24.9875
75,121.587,24.985,121.592,24.985,121.587,24.99,121.592,24.99,6,27,121.5895,24.9875
76,121.592,24.985,121.597,24.985,121.592,24.99,121.597,24.99,6,28,121.5945,24.9875
77,121.597,24.985,121.602,24.985,121.597,24.99,121.602,24.99,6,29,121.5995,24.9875
78,121.602,24.985,121.607,24.985,121.602,24.99,121.607,24.99,6,30,121.6045,24.9875
79,121.527,24.99,121.532,24.99,121.527,24.995,121.532,24.995,7,15,121.5295,24.9925
80,121.532,24.99,121.537,24.99,121.532,24.995,121.537,24.995,7,16,121.5345,24.9925
81,121.537,24.99,121.542,24.99,121.537,24.995,121.542,24.995,7,17,121.5395,24.9925
82,121.542,24.99,121.547,24.99,121.542,24.995,121.547,24.995,7,18,121.5445,24.9925
83,121.547,24.99,121.552,24.99,121.547,24.995,121.552,24.995,7,19,121.5495,24.9925
84,121.552,24.99,121.557,24.99,121.552,24.995,121.557,24.995,7,20,121.5545,24.9925
85,121.557,24.99,121.562,24.99,121.557,24.995,121.562,24.995,7,21,121.5595,24.9925
86,121.562,24.99,121.567,24.99,121.562,24.995,121.567,24.995,7,22,121.5645,24.9925
87,121.567,24.99,121.572,24.99,121.567,24.995,121.572,24.995,7,23,121.5695,24.9925
88,121.572,24.99,121.577,24.99,121.572,24.995,121.577,24.995,7,24,121.5745,24.9925
89,121.577,24.99,121.582,24.99,121.577,24.995,121.582,24.995,7,25,121.5795,24.9925
90,121.582,24.99,121.587,24.99,121.582,24.995,121.587,24.995,7,26,121.5845,24.9925
91,121.587,24.99,121.592,24.99,121.587,24.995,121.592,24.995,7,27,121.5895,24.9925
92,121.592,24.99,121.597,24.99,121.592,24.995,121.597,24.995,7,28,121.5945,24.9925
93,121.597,24.99,121.602,24.99,121.597,24.995,121.602,24.995,7,29,121.5995,24.9925
94,121.527,24.995,121.532,24.995,121.527,25,121.532,25,8,15,121.5295,24.9975
95,121.532,24.995,121.537,24.995,121.532,25,121.537,25,8,16,121.5345,24.9975
96,121.537,24.995,121.542,24.995,121.537,25,121.542,25,8,17,121.5395,24.9975
97,121.542,24.995,121.547,24.995,121.542,25,121.547,25,8,18,121.5445,24.9975
98,121.547,24.995,121.552,24.995,121.547,25,121.552,25,8,19,121.5495,24.9975
99,121.552,24.995,121.557,24.995,121.552,25,121.557,25,8,20,121.5545,24.9975
100,121.557,24.995,121.562,24.995,121.557,25,121.562,25,8,21,121.5595,24.9975
101,121.562,24.995,121.567,24.995,121.562,25,121.567,25,8,22,121.5645,24.9975
102,121.567,24.995,121.572,24.995,121.567,25,121.572,25,8,23,121.5695,24.9975
103,121.572,24.995,121.577,24.995,121.572,25,121.577,25,8,24,121.5745,24.9975
104,121.577,24.995,121.582,24.995,121.577,25,121.582,25,8,25,121.5795,24.9975
105,121.582,24.995,121.587,24.995,121.582,25,121.587,25,8,26,121.5845,24.9975
106,121.587,24.995,121.592,24.995,121.587,25,121.592,25,8,27,121.5895,24.9975
107,121.592,24.995,121.597,24.995,121.592,25,121.597,25,8,28,121.5945,24.9975
108,121.597,24.995,121.602,24.995,121.597,25,121.602,25,8,29,121.5995,24.9975
109,121.532,25,121.537,25,121.532,25.005,121.537,25.005,9,16,121.5345,25.0025
110,121.537,25,121.542,25,121.537,25.005,121.542,25.005,9,17,121.5395,25.0025
111,121.542,25,121.547,25,121.542,25.005,121.547,25.005,9,18,121.5445,25.0025
112,121.547,25,121.552,25,121.547,25.005,121.552,25.005,9,19,121.5495,25.0025
113,121.552,25,121.557,25,121.552,25.005,121.557,25.005,9,20,121.5545,25.0025
114,121.557,25,121.562,25,121.557,25.005,121.562,25.005,9,21,121.5595,25.0025
115,121.562,25,121.567,25,121.562,25.005,121.567,25.005,9,22,121.5645,25.0025
116,121.567,25,121.572,25,121.567,25.005,121.572,25.005,9,23,121.5695,25.0025
117,121.572,25,121.577,25,121.572,25.005,121.577,25.005,9,24,121.5745,25.0025
118,121.577,25,121.582,25,121.577,25.005,121.582,25.005,9,25,121.5795,25.0025
119,121.582,25,121.587,25,121.582,25.005,121.587,25.005,9,26,121.5845,25.0025
120,121.587,25,121.592,25,121.587,25.005,121.592,25.005,9,27,121.5895,25.0025
121,121.592,25,121.597,25,121.592,25.005,121.597,25.005,9,28,121.5945,25.0025
122,121.597,25,121.602,25,121.597,25.005,121.602,25.005,9,29,121.5995,25.0025
123,121.492,25.005,121.497,25.005,121.492,25.01,121.497,25.01,10,8,121.4945,25.0075
124,121.497,25.005,121.502,25.005,121.497,25.01,121.502,25.01,10,9,121.4995,25.0075
