"name","word","count"
"商品","商品","466"
"士林","士林","411"
"交易","交易","355"
"北市","北市","194"
"可以","可以","192"
"台北","台北","182"
"台北市","台北市","164"
"萬元","萬元","134"
"個案","個案","118"
"警方","警方","115"
"民眾","民眾","108"
"天母","天母","106"
"服務","服務","95"
"登革熱","登革熱","87"
"活動","活動","83"
"台灣","台灣","82"
"好吃","好吃","72"
"山區","山區","62"
"士林夜市","士林夜市","60"
"土地","土地","60"
"中心","中心","55"
"比較","比較","53"
"大家","大家","51"
"步道","步道","51"
"使用","使用","49"
"衛生局","衛生局","49"
"市場","市場","47"
"本土","本土","46"
"店面","店面","46"
"北投","北投","46"
"口感","口感","45"
"公園","公園","44"
"誠品","誠品","44"
"市府","市府","43"
"投資","投資","41"
"鉛管","鉛管","40"
"房價","房價","40"
"文化","文化","39"
"口味","口味","38"
"手機","手機","38"
"北水處","北水處","37"
"老師","老師","37"
"陳女","陳女","37"
"日本","日本","36"
"頭獎","頭獎","36"
"麵包","麵包","36"
"料理","料理","35"
"停電","停電","34"
"人壽","人壽","34"
"照顧","照顧","33"
"柯文哲","柯文哲","33"
