"name","word","count"
"台北","台北","395"
"台北市","台北市","207"
"大安區","大安區","184"
"台灣","台灣","183"
"北市","北市","173"
"餐廳","餐廳","167"
"蔡英文","蔡英文","165"
"非常","非常","161"
"民進黨","民進黨","161"
"范雲","范雲","148"
"因為","因為","147"
"咖啡","咖啡","147"
"好吃","好吃","144"
"味道","味道","133"
"口感","口感","132"
"口味","口味","130"
"立委","立委","129"
"大安","大安","127"
"警方","警方","116"
"起司","起司","115"
"甜點","甜點","108"
"韓國","韓國","105"
"國民黨","國民黨","102"
"料理","料理","97"
"蛋糕","蛋糕","97"
"漢堡","漢堡","94"
"房價","房價","93"
"吃起來","吃起來","87"
"市府","市府","85"
"柯文哲","柯文哲","84"
"餐點","餐點","78"
"美味","美味","75"
"日本","日本","74"
"店家","店家","74"
"巧克力","巧克力","74"
"海鮮","海鮮","69"
