"name","word","count"
"台北","台北","359"
"北市","北市","244"
"台北市","台北市","230"
"台灣","台灣","184"
"官網","官網","153"
"大同","大同","123"
"新北市","新北市","106"
"房價","房價","96"
"警方","警方","96"
"醫院","醫院","94"
"小姐","小姐","93"
"大同區","大同區","77"
"國民黨","國民黨","68"
"八仙","八仙","66"
"住宅","住宅","66"
"設計","設計","62"
"區域","區域","61"
"捷運","捷運","61"
"咖啡","咖啡","57"
"停車","停車","57"
"老闆","老闆","53"
"日本","日本","51"
"國際","國際","49"
"價格","價格","49"
"山區","山區","49"
"智慧","智慧","48"
"民進黨","民進黨","47"
"公司","公司","46"
"車位","車位","46"
"店長","店長","46"
"員工","員工","45"
"口感","口感","45"
"每坪","每坪","45"
"投資","投資","42"
"櫃台人員","櫃台人員","42"
"開發","開發","37"
"抹茶","抹茶","37"
"大稻埕","大稻埕","36"
"診所","診所","36"
"捐血","捐血","36"
"傷者","傷者","36"
"商圈","商圈","36"
