"name","word","count"
"台北","台北","456"
"台灣","台灣","283"
"時間","時間","261"
"信義","信義","252"
"餐廳","餐廳","170"
"信義區","信義區","157"
"警方","警方","126"
"口味","口味","125"
"北市","北市","124"
"台北市","台北市","112"
"好吃","好吃","105"
"活動","活動","103"
"拉麵","拉麵","99"
"咖啡","咖啡","94"
"品牌","品牌","89"
"口感","口感","89"
"房價","房價","83"
"海底撈","海底撈","76"
"牛排","牛排","70"
"湯頭","湯頭","69"
"楊實秋","楊實秋","69"
"微風信義","微風信義","68"
"遊戲","遊戲","68"
"日本","日本","67"
"味道","味道","66"
"公司","公司","65"
"豪宅","豪宅","62"
"張承中","張承中","60"
"林俊傑","林俊傑","55"
"辣妹","辣妹","55"
"用餐","用餐","55"
"市場","市場","53"
"軍宅","軍宅","53"
"王如玄","王如玄","52"
"金陽","金陽","51"
"空間","空間","48"
"每坪","每坪","48"
"美食","美食","47"
"推薦","推薦","47"
"這個","這個","47"
"夜店","夜店","47"
"起司","起司","46"
"抹茶","抹茶","46"
"頂新","頂新","44"
"冰淇淋","冰淇淋","44"
"微風","微風","43"
"投資","投資","43"
"百貨","百貨","43"
"中山區","中山區","42"
"飯店","飯店","42"
"牛肉","牛肉","42"
"中信金","中信金","42"
"公園","公園","41"
