"name","word","count"
"南港","南港","432"
"北市","北市","283"
"台北","台北","177"
"台北市","台北市","158"
"警方","警方","98"
"柯文哲","柯文哲","81"
"新北市","新北市","71"
"台灣","台灣","70"
"大同","大同","66"
"時代力量","時代力量","58"
"立委","立委","55"
"社區","社區","54"
"民進黨","民進黨","54"
"房價","房價","54"
"蘋果","蘋果","51"
"親民黨","親民黨","50"
"住宅","住宅","50"
"市場","市場","48"
"土地","土地","47"
"未來","未來","46"
"產業","產業","46"
"交易量","交易量","45"
"參選人","參選人","44"
"開發","開發","43"
"少年","少年","43"
"記者","記者","43"
"整合","整合","42"
"活動","活動","42"
"交通","交通","41"
"交易","交易","39"
"機車","機車","39"
"昆陽","昆陽","34"
"市長","市長","34"
"南港區","南港區","34"
"明年","明年","34"
"銀行","銀行","33"
"計畫","計畫","32"
"預算","預算","32"
"提名","提名","32"
"總統","總統","31"
"北市府","北市府","31"
"內湖","內湖","30"
"公園","公園","30"
"局長","局長","30"
"餐廳","餐廳","29"
"好吃","好吃","29"
"園區","園區","29"
"美國","美國","29"
"南港瓶蓋工廠","南港瓶蓋工廠","28"
"台鐵","台鐵","28"
"停車場","停車場","28"
"女友","女友","27"
