"name","word","count"
"聯絡人","聯絡人","384"
"台北","台北","299"
"內湖","內湖","270"
"北市","北市","260"
"台北市","台北市","243"
"民眾","民眾","98"
"台灣","台灣","97"
"小姐","小姐","96"
"新北市","新北市","94"
"服務","服務","90"
"官網","官網","78"
"交易","交易","75"
"車位","車位","73"
"警方","警方","70"
"餐廳","餐廳","68"
"八仙","八仙","66"
"個案","個案","66"
"步道","步道","64"
"電話","電話","63"
"中心","中心","60"
"醫院","醫院","60"
"黃明德","黃明德","59"
"山區","山區","58"
"老闆","老闆","58"
"捷運","捷運","57"
"空間","空間","57"
"登革熱","登革熱","56"
"家屬","家屬","56"
"國民黨","國民黨","55"
"交易量","交易量","51"
"活動","活動","51"
"社區","社區","50"
"咖啡","咖啡","50"
"價格","價格","49"
"好吃","好吃","48"
"設計","設計","48"
"公司","公司","48"
"照顧","照顧","47"
"醫師","醫師","47"
"產品","產品","47"
"大樓","大樓","46"
"市場","市場","43"
"停水","停水","42"
"火腿","火腿","42"
"櫃台人員","櫃台人員","42"
"蘋果","蘋果","41"
"推薦","推薦","40"
"公寓","公寓","39"
"北路","北路","38"
"免費","免費","38"
"公園","公園","37"
"捐血","捐血","36"
"傷者","傷者","36"
"熱狗","熱狗","36"
"商圈","商圈","36"
"兄弟","兄弟","35"
"公車","公車","33"
"內湖區","內湖區","33"
"朱立倫","朱立倫","33"
