"name","word","count"
"台北","台北","300"
"台北市","台北市","210"
"北市","北市","199"
"松山","松山","155"
"台灣","台灣","146"
"蔡英文","蔡英文","144"
"房價","房價","143"
"國民黨","國民黨","142"
"民進黨","民進黨","126"
"參選","參選","122"
"立委","立委","121"
"蔣萬安","蔣萬安","100"
"參選人","參選人","89"
"每坪","每坪","78"
"日本","日本","75"
"口感","口感","74"
"咖啡","咖啡","71"
"好吃","好吃","68"
"活動","活動","67"
"同志","同志","65"
"服務","服務","64"
"海鮮","海鮮","59"
"陳女","陳女","59"
"山區","山區","57"
"呂欣潔","呂欣潔","55"
"松山區","松山區","55"
"中山","中山","54"
"整合","整合","54"
"潘建志","潘建志","53"
"有點","有點","53"
"用餐","用餐","52"
"張承中","張承中","51"
"李晏榕","李晏榕","49"
"松山機場","松山機場","49"
"捷運","捷運","47"
"火鍋","火鍋","47"
"選舉","選舉","45"
"餐廳","餐廳","45"
"楊實秋","楊實秋","45"
"選區","選區","44"
"大安區","大安區","44"
"公司","公司","44"
"信託","信託","42"
"選民","選民","42"
"個案","個案","42"
"建案","建案","42"
"信義區","信義區","42"
"美食","美食","41"
"民生","民生","39"
"柯文哲","柯文哲","39"
"鬆餅","鬆餅","39"
"投資","投資","37"
"登記","登記","36"
"總統","總統","36"
"朱立倫","朱立倫","36"
"里長","里長","36"
"松機","松機","36"
"咖哩","咖哩","35"
