"name","word","count"
"台北","台北","392"
"萬華","萬華","374"
"北市","北市","316"
"萬元","萬元","298"
"台北市","台北市","229"
"林昶佐","林昶佐","199"
"活動","活動","196"
"民眾","民眾","167"
"警方","警方","156"
"台灣","台灣","131"
"鉛管","鉛管","119"
"林男","林男","119"
"房價","房價","116"
"立委","立委","103"
"林郁方","林郁方","100"
"文化","文化","96"
"柯文哲","柯文哲","92"
"每坪","每坪","89"
"遊民","遊民","84"
"里長","里長","84"
"億元","億元","84"
"市場","市場","76"
"民進黨","民進黨","74"
"市府","市府","71"
"公園","公園","69"
"國民黨","國民黨","69"
"北水處","北水處","68"
"艋舺","艋舺","66"
"價格","價格","65"
"萬華區","萬華區","62"
"個案","個案","62"
"街友","街友","59"
"住宅","住宅","58"
"被害人","被害人","57"
"機車","機車","55"
"艋舺公園","艋舺公園","53"
"中心","中心","52"
"都更","都更","51"
"社區","社區","51"
"基地","基地","50"
"議員","議員","49"
"新北市","新北市","49"
"投資","投資","48"
"社會局","社會局","48"
"河濱公園","河濱公園","43"
"性侵","性侵","43"
"好吃","好吃","41"
"林洲民","林洲民","40"
"中正","中正","40"
"時代力量","時代力量","38"
"公宅","公宅","37"
"廢校","廢校","37"
"蔡英文","蔡英文","36"
"都發局","都發局","36"
