"name","word","count"
"北市","北市","318"
"台北","台北","282"
"柯文哲","柯文哲","221"
"台北市","台北市","197"
"文山區","文山區","170"
"警方","警方","157"
"文山","文山","155"
"再興","再興","124"
"房價","房價","121"
"社區","社區","120"
"民眾","民眾","118"
"個案","個案","115"
"登革熱","登革熱","114"
"里長","里長","106"
"國民黨","國民黨","104"
"公宅","公宅","99"
"景美","景美","99"
"好吃","好吃","97"
"市府","市府","97"
"台灣","台灣","91"
"山區","山區","91"
"停水","停水","81"
"問題","問題","80"
"市長","市長","79"
"活動","活動","76"
"立委","立委","75"
"李慶元","李慶元","74"
"民進黨","民進黨","70"
"房東","房東","64"
"機車","機車","63"
"開發","開發","62"
"每坪","每坪","60"
"興建","興建","59"
"衛生局","衛生局","59"
"淹水","淹水","56"
"高中","高中","56"
"滯洪池","滯洪池","55"
"賴士葆","賴士葆","54"
"木柵","木柵","54"
"都發局","都發局","53"
"公園","公園","50"
