"name","word","count"
"台北","台北","321"
"北市","北市","243"
"台北市","台北市","197"
"每坪","每坪","125"
"房價","房價","124"
"台灣","台灣","122"
"王如玄","王如玄","106"
"中正","中正","94"
"地址","地址","84"
"好吃","好吃","80"
"議員","議員","69"
"收費","收費","69"
"警方","警方","68"
"立委","立委","66"
"學生","學生","66"
"捷運","捷運","65"
"柯文哲","柯文哲","60"
"豬排","豬排","59"
"個案","個案","57"
"都更","都更","55"
"日本","日本","55"
"咖啡","咖啡","53"
"拉麵","拉麵","52"
"市場","市場","51"
"陳建仁","陳建仁","51"
"分享","分享","51"
"國民黨","國民黨","50"
"鉛管","鉛管","47"
"生活","生活","47"
"餐廳","餐廳","47"
"林昶佐","林昶佐","46"
"停水","停水","45"
"中正區","中正區","45"
"大安區","大安區","44"
"信義區","信義區","44"
"申報","申報","43"
"登革熱","登革熱","42"
"毒品","毒品","41"
"參選人","參選人","41"
"新北市","新北市","40"
"民進黨","民進黨","39"
"拆除","拆除","39"
"選舉","選舉","38"
"房市","房市","37"
"軍宅","軍宅","36"
"建物","建物","36"
"參選","參選","35"
"山區","山區","35"
"段宜康","段宜康","35"
"投資","投資","34"
"蔡英文","蔡英文","31"
"郝龍斌","郝龍斌","30"
"口感","口感","30"
"報名","報名","30"
"商圈","商圈","30"
"修正","修正","30"
"大樓","大樓","29"
"大學里","大學里","29"
"社會","社會","29"
"里長","里長","29"
"跌幅","跌幅","29"
"華山","華山","28"
"展覽","展覽","27"
"銀行","銀行","27"
"許志堅","許志堅","26"
"魯肉飯","魯肉飯","26"
"咖哩","咖哩","26"
"公園","公園","26"
"自來水","自來水","26"
"市府","市府","26"
"警衛","警衛","26"
"食材","食材","26"
"中國","中國","26"
"產品","產品","26"
"均價","均價","25"
"起司","起司","25"
"下跌","下跌","25"
"這樣","這樣","25"
"也是","也是","25"
"衛生局","衛生局","25"
"工作","工作","25"
"政治","政治","24"
"房屋","房屋","24"
"總價","總價","24"
"信義","信義","24"
"未來","未來","24"
"吉豚屋","吉豚屋","24"
"店員","店員","24"
"財產","財產","24"
"部分","部分","24"
"業者","業者","24"
"去年","去年","23"
"套房","套房","23"
"已經","已經","23"
"甜點","甜點","23"
"義大利","義大利","23"
"北水處","北水處","23"
"藝術","藝術","23"
"總統","總統","23"
