"name","word","count"
"北投","北投","791"
"交易","交易","351"
"北市","北市","232"
"台北市","台北市","212"
"台北","台北","207"
"可以","可以","206"
"萬元","萬元","136"
"時間","時間","130"
"表示","表示","119"
"運動","運動","105"
"民眾","民眾","97"
"台灣","台灣","92"
"柯文哲","柯文哲","89"
"石牌","石牌","87"
"溫泉","溫泉","87"
"警方","警方","84"
"沒有","沒有","83"
"鉛管","鉛管","82"
"關渡","關渡","80"
"揪團","揪團","79"
"活動","活動","78"
"今年","今年","77"
"工作","工作","76"
"市場","市場","75"
"比較","比較","70"
"國民黨","國民黨","67"
"就是","就是","67"
"預算","預算","64"
"捷運","捷運","63"
"億元","億元","62"
"開幕","開幕","59"
"市府","市府","58"
"好吃","好吃","57"
"鄉民","鄉民","56"
"附近","附近","55"
"我們","我們","54"
"個案","個案","53"
"空間","空間","53"
"籃球場","籃球場","52"
"北水處","北水處","51"
"設計","設計","50"
"交通","交通","50"
"議員","議員","49"
"房價","房價","49"
"土地","土地","49"
"咖啡","咖啡","48"
"大家","大家","48"
"吳思瑤","吳思瑤","48"
"方式","方式","47"
"公園","公園","47"
"真的","真的","47"
"計畫","計畫","47"
"淡水","淡水","46"
"士林","士林","46"
"小時","小時","45"
"新北市","新北市","43"
"覺得","覺得","43"
"道路","道路","42"
"電話","電話","40"
"站內信","站內信","40"
"文化局","文化局","40"
"要求","要求","40"
"來唷","來唷","39"
"餐廳","餐廳","39"
"自己","自己","39"
"檢測","檢測","39"
"北投國中","北投國中","39"
"城市","城市","38"
"服務","服務","38"
"希望","希望","37"
"停水","停水","37"
"開發","開發","37"
"蛋餅","蛋餅","36"
"所以","所以","36"
"全新","全新","36"
"提供","提供","35"
"好市多","好市多","34"
"因為","因為","34"
"登革熱","登革熱","34"
"生活","生活","34"
"北市府","北市府","34"
"和碩","和碩","34"
"發現","發現","33"
"山區","山區","33"
"單位","單位","33"
"是北投","是北投","33"
"現在","現在","33"
"竹子湖","竹子湖","33"
"環保局","環保局","32"
"牛肉麵","牛肉麵","32"
"日本","日本","32"
"議會","議會","32"
"大地處","大地處","32"
"文化","文化","32"
"什麼","什麼","32"
"資料","資料","31"
"今天","今天","31"
"車位","車位","31"
"北投區","北投區","30"
"價格","價格","30"
"醫院","醫院","30"
"指數","指數","30"
"國小","國小","30"
"新北投","新北投","29"
"醫師","醫師","29"
"里長","里長","29"
"問題","問題","29"
"機車","機車","29"
"社區","社區","28"
"進行","進行","28"
"藝術","藝術","28"
"國際","國際","28"
"舉辦","舉辦","28"
"海芋","海芋","28"
"不是","不是","28"
"颱風","颱風","28"
"環評","環評","28"
"指出","指出","28"
"內湖","內湖","27"
"學校","學校","27"
"老闆","老闆","27"
"標題","標題","27"
"影響","影響","27"
"記者","記者","27"
"停車","停車","27"
"工務局","工務局","27"
"已經","已經","26"
"區域","區域","26"
"豆漿","豆漿","26"
"知道","知道","26"
"現場","現場","26"
"北纜","北纜","26"
"市長","市長","26"
"醫療","醫療","26"
"明年","明年","26"
"還有","還有","26"
"陽明山","陽明山","26"
"城博","城博","25"
"其他備註","其他備註","25"
"總統","總統","25"
"產業","產業","25"
"公司","公司","25"
"喜歡","喜歡","25"
"以下","以下","25"
"宜蘭","宜蘭","25"
"家庭","家庭","25"
"參考網址","參考網址","25"
"住宅","住宅","25"
"基地","基地","25"
"味道","味道","24"
"不過","不過","24"
"新北","新北","24"
"投資","投資","24"
"光明路","光明路","24"
"目前","目前","24"
"看到","看到","24"
"公車","公車","24"
"商品","商品","24"
"公里","公里","24"
"都發局","都發局","24"
