"name","word","count"
"商品","商品","466"
"士林","士林","411"
"交易","交易","355"
"北市","北市","194"
"可以","可以","192"
"台北","台北","182"
"台北市","台北市","164"
"萬元","萬元","134"
"表示","表示","127"
"個案","個案","118"
"警方","警方","115"
"民眾","民眾","108"
"天母","天母","106"
"服務","服務","95"
"時間","時間","92"
"登革熱","登革熱","87"
"活動","活動","83"
"台灣","台灣","82"
"沒有","沒有","79"
"我們","我們","75"
"好吃","好吃","72"
"山區","山區","62"
"士林夜市","士林夜市","60"
"土地","土地","60"
"中心","中心","55"
"今年","今年","54"
"比較","比較","53"
"大家","大家","51"
"步道","步道","51"
"使用","使用","49"
"衛生局","衛生局","49"
"就是","就是","48"
"市場","市場","47"
"億元","億元","47"
"本土","本土","46"
"店面","店面","46"
"北投","北投","46"
"口感","口感","45"
"公園","公園","44"
"誠品","誠品","44"
"市府","市府","43"
"期限至","期限至","42"
"投資","投資","41"
"鉛管","鉛管","40"
"房價","房價","40"
"網友","網友","39"
"覺得","覺得","39"
"文化","文化","39"
"口味","口味","38"
"手機","手機","38"
"北水處","北水處","37"
"老師","老師","37"
"陳女","陳女","37"
"日本","日本","36"
"頭獎","頭獎","36"
"麵包","麵包","36"
"料理","料理","35"
"真的","真的","35"
"設計","設計","35"
"希望","希望","34"
"停電","停電","34"
"他們","他們","34"
"人壽","人壽","34"
"照顧","照顧","33"
"柯文哲","柯文哲","33"
"家屬","家屬","33"
"社區","社區","33"
"預算","預算","33"
"確診","確診","32"
"自己","自己","32"
"小時","小時","32"
"規劃","規劃","31"
"發現","發現","31"
"味道","味道","31"
"國民黨","國民黨","31"
"知道","知道","31"
"新北市","新北市","31"
"公司","公司","31"
"認為","認為","31"
"車位","車位","31"
"教育局","教育局","31"
"工作","工作","31"
"員警","員警","31"
"附近","附近","31"
"不是","不是","30"
"朋友","朋友","30"
"不過","不過","30"
"夜市","夜市","29"
"威力彩","威力彩","29"
"所以","所以","29"
"美國","美國","29"
"朱立倫","朱立倫","29"
"補習班","補習班","29"
"明年","明年","29"
"業者","業者","29"
"購買","購買","28"
"台中","台中","28"
"作品","作品","28"
"鬆餅","鬆餅","28"
"起司","起司","27"
"起來","起來","26"
"注中獎","注中獎","26"
"今天","今天","26"
"未來","未來","26"
"加碼","加碼","26"
"報名","報名","26"
"李男","李男","26"
"停車","停車","26"
"開出","開出","25"
"演出","演出","25"
"參選人","參選人","25"
"價格","價格","25"
"大安區","大安區","25"
"還是","還是","25"
"抹茶","抹茶","25"
"學校","學校","24"
"大陸","大陸","24"
"國際","國際","24"
"生活","生活","24"
"售價","售價","24"
"基隆河","基隆河","24"
"下午","下午","24"
"黃明德","黃明德","24"
"還有","還有","24"
"這家","這家","23"
"區是","區是","23"
"地區","地區","23"
"台電","台電","23"
"蘋果","蘋果","23"
"挽面","挽面","23"
"幫高調","幫高調","23"
"搭配","搭配","23"
"方式","方式","22"
"停水","停水","22"
"吉他","吉他","22"
"毒品","毒品","22"
"品牌","品牌","22"
"喜歡","喜歡","22"
"山藥","山藥","22"
"里長","里長","22"
"問題","問題","22"
"昨天","昨天","22"
"商圈","商圈","22"
"課程","課程","22"
"醫生","醫生","21"
"因為","因為","21"
"目前","目前","21"
"專線","專線","21"
"餐廳","餐廳","21"
"居民","居民","21"
"北市府","北市府","21"
"老人","老人","21"
"違規","違規","21"
"士林區","士林區","21"
"房市","房市","21"
"方案","方案","21"
"如果","如果","21"
"貸款","貸款","21"
"晚上","晚上","21"
"租金","租金","21"
"自用","自用","21"
"每注可得","每注可得","21"
"第二預備金","第二預備金","20"
"記者陳恩惠","記者陳恩惠","20"
"感覺","感覺","20"
"二手","二手","20"
"提供","提供","20"
"溫泉","溫泉","20"
"計畫","計畫","20"
"醫師","醫師","20"
"咖啡","咖啡","20"
"興建","興建","20"
"記者","記者","20"
"產品","產品","20"
"不錯","不錯","20"
"分享","分享","20"
"小郁","小郁","19"
"民進黨","民進黨","19"
"也不","也不","19"
