"name","word","count"
"台北","台北","395"
"可以","可以","386"
"時間","時間","344"
"萬元","萬元","289"
"就是","就是","231"
"台北市","台北市","207"
"我們","我們","186"
"大安區","大安區","184"
"台灣","台灣","183"
"北市","北市","173"
"餐廳","餐廳","167"
"蔡英文","蔡英文","165"
"非常","非常","161"
"民進黨","民進黨","161"
"范雲","范雲","148"
"因為","因為","147"
"咖啡","咖啡","147"
"沒有","沒有","147"
"好吃","好吃","144"
"覺得","覺得","138"
"真的","真的","134"
"還有","還有","134"
"味道","味道","133"
"所以","所以","132"
"口感","口感","132"
"口味","口味","130"
"立委","立委","129"
"大安","大安","127"
"民眾","民眾","121"
"不過","不過","118"
"警方","警方","116"
"起司","起司","115"
"起來","起來","110"
"甜點","甜點","108"
"喜歡","喜歡","108"
"韓國","韓國","105"
"比較","比較","102"
"國民黨","國民黨","102"
"老闆","老闆","102"
"有點","有點","102"
"表示","表示","100"
"自己","自己","98"
"料理","料理","97"
"蛋糕","蛋糕","97"
"漢堡","漢堡","94"
"房價","房價","93"
"吃起來","吃起來","87"
"市府","市府","85"
"柯文哲","柯文哲","84"
"也是","也是","84"
"搭配","搭配","81"
"不錯","不錯","79"
"而且","而且","78"
"地址","地址","78"
"朋友","朋友","78"
"餐點","餐點","78"
"選區","選區","77"
"店員","店員","77"
"其實","其實","77"
"美味","美味","75"
"日本","日本","74"
"店家","店家","74"
"巧克力","巧克力","74"
"支持","支持","74"
"電話","電話","70"
"海鮮","海鮮","69"
"中山區","中山區","69"
"今天","今天","67"
"提供","提供","66"
"價格","價格","66"
"用餐","用餐","66"
"工作","工作","66"
"很多","很多","64"
"一個","一個","63"
"參選人","參選人","63"
"服務","服務","63"
"都是","都是","62"
"以及","以及","62"
"設計","設計","62"
"大家","大家","61"
"這個","這個","61"
"參選","參選","60"
"還是","還是","60"
"冰淇淋","冰淇淋","60"
"看到","看到","59"
"收費","收費","59"
"活動","活動","59"
"抹茶","抹茶","58"
"每坪","每坪","58"
"牛肉","牛肉","58"
"分享","分享","58"
"不會","不會","57"
"感覺","感覺","56"
"拉拉熊","拉拉熊","56"
"相當","相當","56"
"媒體","媒體","55"
"沙拉","沙拉","54"
"他們","他們","54"
"號電話","號電話","54"
"讓人","讓人","53"
"麵包","麵包","52"
"套餐","套餐","52"
"自來水","自來水","52"
"雖然","雖然","52"
"政黨","政黨","52"
"鮭魚","鮭魚","51"
"不是","不是","51"
"今年","今年","50"
"小時","小時","50"
"烤肉","烤肉","49"
"一樣","一樣","49"
"飲料","飲料","49"
"陳建仁","陳建仁","49"
"食家","食家","49"
"拉麵","拉麵","48"
"選擇","選擇","47"
"附近","附近","47"
"信義區","信義區","47"
"綠社盟","綠社盟","46"
"許多","許多","46"
"美食","美食","46"
"如果","如果","46"
"食材","食材","46"
"區域","區域","45"
"什麼","什麼","45"
"候選人","候選人","45"
"韓式","韓式","45"
"登記","登記","44"
"咖哩","咖哩","44"
"總統","總統","44"
"問題","問題","44"
"社民黨","社民黨","44"
"師大","師大","43"
"豪宅","豪宅","43"
"生菜","生菜","43"
"發現","發現","42"
"應該","應該","42"
"風味","風味","42"
"里長","里長","42"
"這樣","這樣","41"
"商圈","商圈","41"
"的是","的是","40"
"訂位","訂位","39"
"夜市","夜市","39"
"成交","成交","39"
"泡菜","泡菜","39"
"一點","一點","39"
"空間","空間","39"
"除了","除了","39"
"希望","希望","38"
"這裡","這裡","38"
"裡面","裡面","37"
"資料","資料","37"
"炸雞","炸雞","37"
"可愛","可愛","37"
"交易","交易","37"
"社區","社區","37"
"使用","使用","37"
"了一","了一","36"
"台中市","台中市","36"
"選民","選民","36"
"頂新","頂新","36"
"可能","可能","36"
"造型","造型","36"
"住宅","住宅","36"
"課程","課程","36"
"菜單","菜單","35"
"政府","政府","35"
"義大利麵","義大利麵","35"
"店內","店內","35"
"的口感","的口感","35"
"土地","土地","35"
"品牌","品牌","34"
"億元","億元","34"
"東區","東區","34"
"適合","適合","34"
"問卷","問卷","34"
"我覺得","我覺得","33"
"議員","議員","33"
"一起","一起","33"
"香氣","香氣","33"
"居民","居民","33"
"毛毛","毛毛","33"
"鬆餅","鬆餅","33"
"火鍋","火鍋","32"
"壽司","壽司","32"
"男子","男子","32"
"公設比","公設比","32"
"金剛","金剛","31"
"蔣乃辛","蔣乃辛","31"
"學生","學生","31"
"台中","台中","31"
"消費","消費","31"
"現在","現在","31"
"湯頭","湯頭","31"
"加上","加上","30"
"燉飯","燉飯","30"
"大巨蛋","大巨蛋","30"
"未來","未來","30"
"社會","社會","30"
"記者","記者","30"
"票券","票券","30"
"政治","政治","29"
"大學里","大學里","29"
"新鮮","新鮮","29"
"公司","公司","29"
"捷運","捷運","29"
"牛排","牛排","29"
"特別","特別","29"
"年糕","年糕","29"
"檢驗","檢驗","29"
"檸檬","檸檬","29"
"忠孝","忠孝","29"
"但是","但是","29"
"年輕人","年輕人","28"
