"name","word","count"
"台北","台北","456"
"可以","可以","332"
"台灣","台灣","283"
"時間","時間","261"
"信義","信義","252"
"萬元","萬元","183"
"餐廳","餐廳","170"
"信義區","信義區","157"
"沒有","沒有","155"
"就是","就是","135"
"表示","表示","134"
"警方","警方","126"
"口味","口味","125"
"北市","北市","124"
"台北市","台北市","112"
"我們","我們","112"
"好吃","好吃","105"
"活動","活動","103"
"所以","所以","100"
"覺得","覺得","100"
"拉麵","拉麵","99"
"因為","因為","99"
"億元","億元","97"
"服務","服務","95"
"咖啡","咖啡","94"
"今年","今年","92"
"品牌","品牌","89"
"口感","口感","89"
"自己","自己","87"
"房價","房價","83"
"還有","還有","82"
"海底撈","海底撈","76"
"看到","看到","76"
"喜歡","喜歡","76"
"真的","真的","74"
"不過","不過","73"
"大樓","大樓","73"
"牛排","牛排","70"
"湯頭","湯頭","69"
"楊實秋","楊實秋","69"
"微風信義","微風信義","68"
"遊戲","遊戲","68"
"日本","日本","67"
"味道","味道","66"
"大家","大家","66"
"起來","起來","65"
"公司","公司","65"
"豪宅","豪宅","62"
"一個","一個","61"
"張承中","張承中","60"
"店家","店家","58"
"附近","附近","58"
"一下","一下","55"
"林俊傑","林俊傑","55"
"辣妹","辣妹","55"
"用餐","用餐","55"
"市場","市場","53"
"軍宅","軍宅","53"
"王如玄","王如玄","52"
"金陽","金陽","51"
"以及","以及","50"
"發生","發生","49"
"不是","不是","49"
"成長","成長","49"
"不會","不會","48"
"地址","地址","48"
"個人","個人","48"
"空間","空間","48"
"每坪","每坪","48"
"美食","美食","47"
"推薦","推薦","47"
"這個","這個","47"
"夜店","夜店","47"
"起司","起司","46"
"抹茶","抹茶","46"
"而且","而且","45"
"開幕","開幕","44"
"民眾","民眾","44"
"網友","網友","44"
"頂新","頂新","44"
"冰淇淋","冰淇淋","44"
"微風","微風","43"
"投資","投資","43"
"百貨","百貨","43"
"基隆","基隆","43"
"除了","除了","43"
"朋友","朋友","42"
"非常","非常","42"
"中山區","中山區","42"
"飯店","飯店","42"
"牛肉","牛肉","42"
"中信金","中信金","42"
"公園","公園","41"
"排隊","排隊","41"
"預算","預算","41"
"不錯","不錯","41"
"土地","土地","41"
"耶誕","耶誕","40"
"比較","比較","40"
"老闆","老闆","40"
