"name","word","count"
"南港","南港","432"
"北市","北市","283"
"萬元","萬元","189"
"台北","台北","177"
"台北市","台北市","158"
"表示","表示","143"
"可以","可以","104"
"警方","警方","98"
"柯文哲","柯文哲","81"
"今天","今天","71"
"新北市","新北市","71"
"台灣","台灣","70"
"大同","大同","66"
"今年","今年","59"
"時代力量","時代力量","58"
"區域","區域","56"
"立委","立委","55"
"社區","社區","54"
"民進黨","民進黨","54"
"房價","房價","54"
"億元","億元","52"
"蘋果","蘋果","51"
"親民黨","親民黨","50"
"沒有","沒有","50"
"住宅","住宅","50"
"市場","市場","48"
"土地","土地","47"
"大家","大家","46"
"未來","未來","46"
"產業","產業","46"
"民眾","民眾","46"
"交易量","交易量","45"
"參選人","參選人","44"
"開發","開發","43"
"少年","少年","43"
"記者","記者","43"
"整合","整合","42"
"活動","活動","42"
"交通","交通","41"
"交易","交易","39"
"機車","機車","39"
"時間","時間","38"
"發展","發展","38"
"開幕","開幕","37"
"路段","路段","36"
"智慧","智慧","36"
"目前","目前","36"
"現在","現在","36"
"問題","問題","36"
"昆陽","昆陽","34"
"市長","市長","34"
"南港區","南港區","34"
"明年","明年","34"
"銀行","銀行","33"
"計畫","計畫","32"
"預算","預算","32"
"提名","提名","32"
"總統","總統","31"
"北市府","北市府","31"
"中心","中心","30"
"內湖","內湖","30"
"公園","公園","30"
"不是","不是","30"
"局長","局長","30"
"價格","價格","29"
"餐廳","餐廳","29"
"好吃","好吃","29"
"園區","園區","29"
"美國","美國","29"
"覺得","覺得","29"
"附近","附近","29"
"跌幅","跌幅","29"
"服務","服務","29"
"南港瓶蓋工廠","南港瓶蓋工廠","28"
"區的","區的","28"
"台鐵","台鐵","28"
"停車場","停車場","28"
"女友","女友","27"
"大安區","大安區","27"
"捷運","捷運","27"
"比較","比較","26"
"大陸","大陸","26"
"因為","因為","26"
"國民黨","國民黨","26"
"真的","真的","26"
"山區","山區","25"
"保留","保留","25"
"宋楚瑜","宋楚瑜","25"
"個案","個案","25"
"民國黨","民國黨","25"
"林少馳","林少馳","25"
"房市","房市","25"
"雙北","雙北","25"
"社會局","社會局","25"
"合作","合作","24"
"參選","參選","24"
"公宅","公宅","24"
"社民黨","社民黨","24"
"車位","車位","24"
"飯店","飯店","24"
"需求","需求","23"
"都更","都更","23"
"不會","不會","23"
"社區公共保母","社區公共保母","23"
"人口","人口","23"
"建設","建設","23"
"宣布","宣布","23"
"全區保留","全區保留","23"
"黃珊珊","黃珊珊","23"
"市府","市府","23"
"貓咪","貓咪","23"
"建案","建案","23"
"城市","城市","22"
"套房","套房","22"
"是否","是否","22"
"自己","自己","22"
"公司","公司","22"
"林欽榮","林欽榮","22"
"爆料","爆料","22"
"客運","客運","22"
"王男","王男","22"
"物件","物件","21"
"大同莊園","大同莊園","21"
"口味","口味","21"
"收費","收費","21"
"政府","政府","21"
"收托","收托","21"
"單價","單價","21"
"工務局","工務局","21"
"政治","政治","20"
"減少","減少","20"
"大樓","大樓","20"
"個月","個月","20"
"登革熱","登革熱","20"
