"name","word","count"
"聯絡人","聯絡人","384"
"台北","台北","299"
"內湖","內湖","270"
"北市","北市","260"
"台北市","台北市","243"
"可以","可以","180"
"萬元","萬元","179"
"表示","表示","122"
"地址","地址","110"
"今年","今年","108"
"民眾","民眾","98"
"台灣","台灣","97"
"小姐","小姐","96"
"新北市","新北市","94"
"億元","億元","91"
"服務","服務","90"
"官網","官網","78"
"交易","交易","75"
"車位","車位","73"
"真的","真的","70"
"警方","警方","70"
"號電話","號電話","69"
"餐廳","餐廳","68"
"提供","提供","67"
"八仙","八仙","66"
"個案","個案","66"
"步道","步道","64"
"電話","電話","63"
"中心","中心","60"
"因為","因為","60"
"醫院","醫院","60"
"黃明德","黃明德","59"
"山區","山區","58"
"老闆","老闆","58"
"捷運","捷運","57"
"空間","空間","57"
"登革熱","登革熱","56"
"家屬","家屬","56"
"國民黨","國民黨","55"
"就是","就是","54"
"交易量","交易量","51"
"活動","活動","51"
"社區","社區","50"
"咖啡","咖啡","50"
"價格","價格","49"
"好吃","好吃","48"
"設計","設計","48"
"公司","公司","48"
"照顧","照顧","47"
"沒有","沒有","47"
"醫師","醫師","47"
"產品","產品","47"
"大樓","大樓","46"
"我們","我們","46"
"店長","店長","46"
"小時","小時","45"
"市場","市場","43"
"時間","時間","43"
"停水","停水","42"
"所以","所以","42"
"火腿","火腿","42"
"櫃台人員","櫃台人員","42"
"比較","比較","41"
"蘋果","蘋果","41"
"自己","自己","41"
"他們","他們","41"
"希望","希望","40"
"推薦","推薦","40"
"公寓","公寓","39"
"北路","北路","38"
"區域","區域","38"
"路二段","路二段","38"
"免費","免費","38"
"公園","公園","37"
"捐血","捐血","36"
"傷者","傷者","36"
"熱狗","熱狗","36"
"商圈","商圈","36"
"一個","一個","35"
"發現","發現","35"
"兄弟","兄弟","35"
"診所台北市大安區忠孝","診所台北市大安區忠孝","35"
"朋友","朋友","35"
"台全","台全","33"
"謝謝","謝謝","33"
"公車","公車","33"
"內湖區","內湖區","33"
"朱立倫","朱立倫","33"
"路三段","路三段","33"
"今天","今天","32"
"房價","房價","32"
"黃明","黃明","32"
"食品","食品","32"
"台中","台中","32"
"美學","美學","32"
"也是","也是","32"
"工作","工作","32"
"護理長","護理長","32"
"男童","男童","31"
"院長","院長","31"
"大家","大家","31"
"人口","人口","31"
"柯文哲","柯文哲","31"
"現場","現場","31"
"員工","員工","30"
"民進黨","民進黨","30"
"看到","看到","30"
"如果","如果","30"
"塵爆","塵爆","29"
"淡水","淡水","29"
"林女","林女","29"
"颱風","颱風","29"
"東路","東路","28"
"淹水","淹水","28"
"麵包","麵包","28"
"維格","維格","28"
"交通","交通","28"
"記者","記者","28"
"運動","運動","28"
"工務局","工務局","28"
"粉塵爆炸","粉塵爆炸","28"
"北水處","北水處","27"
"目前","目前","27"
"生活","生活","27"
"知道","知道","27"
"診所","診所","27"
"不是","不是","27"
"早餐","早餐","27"
"附近","附近","27"
"支持","支持","27"
"八仙樂園","八仙樂園","27"
"什麼","什麼","27"
"店家","店家","26"
"信義","信義","26"
"陳男","陳男","26"
"影片","影片","26"
"板橋","板橋","26"
"機車","機車","26"
"造成","造成","25"
"國際","國際","25"
"美福","美福","25"
"學生","學生","25"
"這裡","這裡","25"
"覺得","覺得","25"
"使用","使用","25"
"新店","新店","25"
"除了","除了","25"
"捐血中心","捐血中心","24"
"也不","也不","24"
"東湖","東湖","24"
"八仙塵爆","八仙塵爆","24"
"未來","未來","24"
"社會局","社會局","24"
"衛生局","衛生局","24"
"飯店","飯店","24"
"土地","土地","24"
"投資","投資","23"
"捐款","捐款","23"
"南港","南港","23"
"診所台北市大安區","診所台北市大安區","23"
"影響","影響","23"
"增加","增加","23"
"集團","集團","23"
"里長","里長","23"
"停車","停車","23"
"不錯","不錯","23"
"孫德榮","孫德榮","23"
"物件","物件","22"
"供水","供水","22"
"房屋","房屋","22"
"確診","確診","22"
"劉泰英","劉泰英","22"
"小孩","小孩","22"
"經過","經過","22"
"路一段","路一段","22"
"客人","客人","22"
"熟成","熟成","22"
"亞硝酸鈉","亞硝酸鈉","22"
"去年","去年","21"
"規劃","規劃","21"
"日本","日本","21"
"時尚","時尚","21"
"專線","專線","21"
"機械車位","機械車位","21"
"狗狗","狗狗","21"
"老人","老人","21"
"參與","參與","21"
"雙北","雙北","21"
"平面","平面","21"
"樓之","樓之","21"
"蘋果日報","蘋果日報","21"
"東路四段","東路四段","21"
"可能","可能","21"
"事件","事件","21"
"醫美","醫美","21"
"問題","問題","21"
"野餐","野餐","21"
"經理","經理","20"
"立委","立委","20"
"年減","年減","20"
"診所新北市三重區","診所新北市三重區","20"
"參選人","參選人","20"
"超過","超過","20"
"車位價格","車位價格","20"
"以及","以及","20"
"業者","業者","20"
"房市","房市","19"
"黃明煌","黃明煌","19"
"平面車位","平面車位","19"
"推好心","推好心","19"
"需求","需求","19"
"起來","起來","19"
"發票","發票","19"
"萬戶","萬戶","19"
"本土","本土","19"
"男子","男子","19"
"失智","失智","19"
"公里","公里","19"
"這樣","這樣","19"
"聯合","聯合","19"
"購屋","購屋","19"
"醫美診所台北市大安區","醫美診所台北市大安區","19"
"單價","單價","19"
"昨天","昨天","19"
"每坪","每坪","19"
"死亡","死亡","19"
"大台北","大台北","18"
"宜蘭","宜蘭","18"
"長輩","長輩","18"
"旅館","旅館","18"
"市府","市府","18"
"個月","個月","18"
"地區","地區","18"
"皮膚科","皮膚科","18"
"老二","老二","18"
"應該","應該","18"
"牛排","牛排","18"
"台北市中正區","台北市中正區","18"
"還是","還是","18"
"照片","照片","18"
"成長","成長","18"
"工程","工程","18"
"加入","加入","18"
"士林","士林","18"
"不少","不少","18"
"住宅","住宅","18"
"忠孝","忠孝","17"
"蛋餅","蛋餅","17"
"台中市","台中市","17"
"路段","路段","17"
"這家","這家","17"
"總價","總價","17"
"公斤","公斤","17"
"先生","先生","17"
"新莊","新莊","17"
"新增","新增","17"
"交通局","交通局","17"
"居家","居家","17"
"整形外科","整形外科","17"
"電影","電影","17"
"碧湖公園","碧湖公園","17"
"會議室","會議室","17"
"基地","基地","17"
"第一","第一","16"
"診所台北市中山區南京","診所台北市中山區南京","16"
"東西","東西","16"
"馬偕","馬偕","16"
"已贈出","已贈出","16"
"讓人","讓人","16"
"無法","無法","16"
"台南","台南","16"
"社會","社會","16"
"南路一段","南路一段","16"
"公民會館","公民會館","16"
"診所桃園市中壢區","診所桃園市中壢區","16"
"名單","名單","16"
"爆炸","爆炸","16"
"支援","支援","16"
"紛紛","紛紛","16"
"士林分署","士林分署","16"
"新北市政府專戶","新北市政府專戶","16"
"醬汁","醬汁","16"
"討論","討論","16"
"爆料","爆料","16"
"還有","還有","16"
"時候","時候","16"
"診所新北市","診所新北市","16"
"南京西路","南京西路","15"
"幫我","幫我","15"
"妻子","妻子","15"
"鉛管","鉛管","15"
"負責","負責","15"
"口味","口味","15"
"診所台北市大同區","診所台北市大同區","15"
"愛心","愛心","15"
"民生","民生","15"
"店面","店面","15"
"學校","學校","15"
"保母","保母","15"
"怎麼","怎麼","15"
"林榮三","林榮三","15"
"高中","高中","15"
"停電","停電","15"
"皮膚專科診所新北市","皮膚專科診所新北市","15"
"記者張嘉明攝","記者張嘉明攝","15"
"診所桃園市桃園區","診所桃園市桃園區","15"
"整形","整形","15"
"詹宏志","詹宏志","15"
"汐止","汐止","15"
"其實","其實","15"
"開槍","開槍","15"
"美麗爾","美麗爾","15"
"樓上","樓上","15"
"不要","不要","15"
"青年","青年","15"
"各界","各界","15"
