"name","word","count"
"可以","可以","305"
"台北","台北","300"
"萬元","萬元","283"
"台北市","台北市","210"
"北市","北市","199"
"時間","時間","198"
"松山","松山","155"
"台灣","台灣","146"
"我們","我們","146"
"蔡英文","蔡英文","144"
"房價","房價","143"
"國民黨","國民黨","142"
"沒有","沒有","141"
"因為","因為","127"
"民進黨","民進黨","126"
"就是","就是","123"
"參選","參選","122"
"立委","立委","121"
"表示","表示","121"
"所以","所以","117"
"不過","不過","108"
"蔣萬安","蔣萬安","100"
"真的","真的","93"
"覺得","覺得","92"
"還有","還有","90"
"參選人","參選人","89"
"民眾","民眾","88"
"大家","大家","81"
"比較","比較","80"
"每坪","每坪","78"
"日本","日本","75"
"自己","自己","74"
"口感","口感","74"
"如果","如果","73"
"咖啡","咖啡","71"
"好吃","好吃","68"
"活動","活動","67"
"起來","起來","65"
"同志","同志","65"
"希望","希望","64"
"服務","服務","64"
"地址","地址","63"
"的是","的是","63"
"雖然","雖然","63"
"非常","非常","62"
"今年","今年","62"
"其實","其實","62"
"他們","他們","61"
"口味","口味","59"
"海鮮","海鮮","59"
"陳女","陳女","59"
"推薦","推薦","58"
"山區","山區","57"
"價格","價格","57"
"我覺得","我覺得","56"
"土地","土地","56"
"支持","支持","55"
"呂欣潔","呂欣潔","55"
"松山區","松山區","55"
"中山","中山","54"
"整合","整合","54"
"潘建志","潘建志","53"
"有點","有點","53"
"用餐","用餐","52"
"張承中","張承中","51"
"朋友","朋友","51"
"警方","警方","51"
"很多","很多","50"
"問題","問題","50"
"李晏榕","李晏榕","49"
"松山機場","松山機場","49"
"而且","而且","48"
"號電話","號電話","47"
"捷運","捷運","47"
"火鍋","火鍋","47"
"還是","還是","46"
"也是","也是","46"
"現在","現在","46"
"選舉","選舉","45"
"餐廳","餐廳","45"
"不是","不是","45"
"楊實秋","楊實秋","45"
"選區","選區","44"
"大安區","大安區","44"
"公司","公司","44"
"知道","知道","43"
"發現","發現","42"
"信託","信託","42"
"選民","選民","42"
"個案","個案","42"
"建案","建案","42"
"信義區","信義區","42"
"美食","美食","41"
"市場","市場","40"
"可能","可能","40"
"分享","分享","40"
"民生","民生","39"
"柯文哲","柯文哲","39"
"認為","認為","39"
"鬆餅","鬆餅","39"
"投資","投資","37"
"登記","登記","36"
"不會","不會","36"
"總統","總統","36"
"朱立倫","朱立倫","36"
"里長","里長","36"
"松機","松機","36"
"但是","但是","36"
"方式","方式","35"
"咖哩","咖哩","35"
"都是","都是","35"
"料理","料理","35"
"出來","出來","35"
"機場","機場","35"
"的人","的人","35"
"這個","這個","35"
"提供","提供","35"
"一個","一個","34"
"也不","也不","34"
"新北市","新北市","34"
"財產","財產","34"
"應該","應該","34"
"面交","面交","34"
"看到","看到","33"
"未來","未來","33"
"蘋果","蘋果","33"
"主購","主購","33"
"一起","一起","32"
"日式","日式","32"
"以及","以及","32"
"停車","停車","32"
"食家","食家","32"
"店內","店內","31"
"吃起來","吃起來","31"
"酒女","酒女","31"
"適合","適合","31"
"全新","全新","31"
"地方","地方","30"
"今天","今天","30"
"洪秀柱","洪秀柱","30"
"牛排","牛排","30"
