"name","word","count"
"台北","台北","392"
"萬華","萬華","374"
"北市","北市","316"
"萬元","萬元","298"
"台北市","台北市","229"
"可以","可以","228"
"林昶佐","林昶佐","199"
"活動","活動","196"
"表示","表示","173"
"民眾","民眾","167"
"警方","警方","156"
"時間","時間","154"
"今年","今年","135"
"沒有","沒有","135"
"台灣","台灣","131"
"鉛管","鉛管","119"
"林男","林男","119"
"房價","房價","116"
"立委","立委","103"
"林郁方","林郁方","100"
"文化","文化","96"
"我們","我們","95"
"柯文哲","柯文哲","92"
"每坪","每坪","89"
"地址","地址","85"
"遊民","遊民","84"
"里長","里長","84"
"億元","億元","84"
"真的","真的","82"
"服務","服務","81"
"因為","因為","77"
"市場","市場","76"
"民進黨","民進黨","74"
"市府","市府","71"
"所以","所以","70"
"覺得","覺得","70"
"公園","公園","69"
"國民黨","國民黨","69"
"北水處","北水處","68"
"大家","大家","67"
"艋舺","艋舺","66"
"價格","價格","65"
"現在","現在","65"
"公布","公布","64"
"萬華區","萬華區","62"
"自己","自己","62"
"個案","個案","62"
"街友","街友","59"
"住宅","住宅","58"
"就是","就是","58"
"被害人","被害人","57"
"今天","今天","55"
"機車","機車","55"
"艋舺公園","艋舺公園","53"
"中心","中心","52"
"都更","都更","51"
"社區","社區","51"
"比較","比較","50"
"基地","基地","50"
"議員","議員","49"
"區域","區域","49"
"新北市","新北市","49"
"投資","投資","48"
"社會局","社會局","48"
"知道","知道","48"
"不是","不是","48"
"還有","還有","48"
"問題","問題","48"
"選舉","選舉","47"
"他們","他們","47"
"商品","商品","46"
"影響","影響","46"
"中時電子報","中時電子報","46"
"臉書","臉書","46"
"政府","政府","45"
"附近","附近","45"
"參選人","參選人","44"
"河濱公園","河濱公園","43"
"目前","目前","43"
"性侵","性侵","43"
"以前","以前","42"
"老闆","老闆","42"
"交易","交易","42"
"公里","公里","42"
"什麼","什麼","42"
"檢驗","檢驗","42"
"好吃","好吃","41"
"回郵","回郵","41"
"姓名","姓名","40"
"口感","口感","40"
"林洲民","林洲民","40"
"中正","中正","40"
"不過","不過","39"
"親領","親領","39"
"生活","生活","39"
"記者","記者","39"
"時代力量","時代力量","38"
"學校","學校","38"
"發現","發現","37"
"資料","資料","37"
"公宅","公宅","37"
"廢校","廢校","37"
"興建","興建","37"
"土地","土地","37"
"照顧","照顧","36"
"蔡英文","蔡英文","36"
"店家","店家","36"
"捷運","捷運","36"
"都發局","都發局","36"
"交通","交通","36"
"的人","的人","36"
"夜市","夜市","35"
"參選","參選","35"
"軍宅","軍宅","35"
"汰換","汰換","35"
"牛肉麵","牛肉麵","35"
"完成","完成","35"
"中國","中國","35"
"公共住宅","公共住宅","34"
"陳男","陳男","34"
"山區","山區","34"
"南機場","南機場","34"
"開始","開始","34"
"空間","空間","34"
"車位","車位","34"
"銀行","銀行","34"
"希望","希望","33"
"房屋","房屋","33"
"很多","很多","33"
"大安區","大安區","33"
"學生","學生","33"
"應該","應該","33"
"龍山寺","龍山寺","33"
"工程","工程","33"
"萬戶","萬戶","32"
"不會","不會","32"
"社區公共保母","社區公共保母","32"
"喜歡","喜歡","32"
"停車","停車","32"
"得獎","得獎","32"
"環境","環境","32"
"計畫","計畫","31"
"第一","第一","30"
"歷史","歷史","30"
"視頻","視頻","30"
"如果","如果","30"
"提供","提供","30"
"當時","當時","29"
"鉛水","鉛水","29"
"登革熱","登革熱","29"
"都是","都是","29"
"這樣","這樣","29"
"閃靈","閃靈","29"
"壽司","壽司","29"
"明年","明年","29"
"不錯","不錯","29"
"舉辦","舉辦","29"
"西門","西門","29"
"身分證","身分證","28"
"如選擇","如選擇","28"
