"name","word","count"
"北市","北市","318"
"台北","台北","282"
"可以","可以","260"
"柯文哲","柯文哲","221"
"台北市","台北市","197"
"沒有","沒有","181"
"萬元","萬元","180"
"文山區","文山區","170"
"表示","表示","158"
"警方","警方","157"
"文山","文山","155"
"覺得","覺得","132"
"再興","再興","124"
"自己","自己","122"
"房價","房價","121"
"社區","社區","120"
"民眾","民眾","118"
"知道","知道","117"
"個案","個案","115"
"比較","比較","115"
"登革熱","登革熱","114"
"因為","因為","106"
"里長","里長","106"
"國民黨","國民黨","104"
"現在","現在","100"
"公宅","公宅","99"
"景美","景美","99"
"好吃","好吃","97"
"市府","市府","97"
"時間","時間","94"
"手機","手機","93"
"台灣","台灣","91"
"山區","山區","91"
"就是","就是","91"
"真的","真的","90"
"今年","今年","89"
"我們","我們","85"
"億元","億元","84"
"停水","停水","81"
"問題","問題","80"
"市長","市長","79"
"活動","活動","76"
"什麼","什麼","76"
"立委","立委","75"
"影響","影響","75"
"李慶元","李慶元","74"
"希望","希望","70"
"民進黨","民進黨","70"
"工作","工作","70"
"學校","學校","66"
"靜心","靜心","66"
"所以","所以","65"
"今天","今天","64"
"如果","如果","64"
"房東","房東","64"
"機車","機車","63"
"開發","開發","62"
"看到","看到","60"
"每坪","每坪","60"
"他們","他們","60"
"不是","不是","59"
"興建","興建","59"
"衛生局","衛生局","59"
"土地","土地","59"
"淹水","淹水","56"
"大家","大家","56"
"高中","高中","56"
"滯洪池","滯洪池","55"
"賴士葆","賴士葆","54"
"木柵","木柵","54"
"學生","學生","54"
"認為","認為","54"
"預算","預算","54"
"附近","附近","54"
"規劃","規劃","53"
"目前","目前","53"
"都發局","都發局","53"
"還是","還是","53"
"的人","的人","53"
"發現","發現","50"
"公園","公園","50"
"價格","價格","50"
"不會","不會","50"
"一個","一個","48"
"東西","東西","47"
"市場","市場","46"
"徵收","徵收","46"
"房仲","房仲","46"
"處理","處理","46"
"支持","支持","46"
"不錯","不錯","46"
"選民","選民","45"
"設計","設計","45"
"申請","申請","45"
"居民","居民","45"
"議員","議員","44"
"我的","我的","44"
"老闆","老闆","44"
"很多","很多","44"
"政大","政大","44"
"已經","已經","43"
"地區","地區","43"
"未來","未來","43"
"新北市","新北市","43"
"公司","公司","43"
"現場","現場","43"
"使用","使用","43"
"服務","服務","43"
"推薦","推薦","42"
"住宅","住宅","42"
"選區","選區","41"
"颱風","颱風","41"
"方式","方式","40"
"也不","也不","40"
"興隆路","興隆路","40"
"可能","可能","39"
"喜歡","喜歡","39"
"參選","參選","38"
"老師","老師","38"
"北市府","北市府","38"
"完成","完成","38"
"北投","北投","38"
"資料","資料","38"
"空間","空間","37"
"回收","回收","37"
"國中","國中","36"
"電話","電話","36"
"考慮","考慮","36"
"都是","都是","36"
"怎麼","怎麼","36"
"開始","開始","36"
"房子","房子","36"
"朋友","朋友","35"
"生活","生活","35"
"我也","我也","35"
"選舉","選舉","35"
"確診","確診","35"
"王積祝","王積祝","34"
"當地","當地","34"
"應該","應該","34"
"發展","發展","34"
"供水","供水","33"
"也是","也是","33"
"進行","進行","33"
"非常","非常","33"
"大安區","大安區","33"
"萬芳","萬芳","33"
"以前","以前","32"
"鉛管","鉛管","32"
"計畫","計畫","32"
"社區公共保母","社區公共保母","32"
"之後","之後","32"
"有一","有一","32"
"預計","預計","31"
"區域","區域","31"
"郝龍斌","郝龍斌","31"
"醫院","醫院","31"
"步道","步道","31"
"總統","總統","31"
"出來","出來","31"
"社會","社會","31"
"這樣","這樣","31"
"是我","是我","31"
"運動","運動","31"
"新店","新店","31"
"房屋","房屋","30"
"雞排","雞排","30"
"北水處","北水處","30"
"本土","本土","30"
"透過","透過","30"
"文化","文化","30"
"還有","還有","30"
"行李","行李","29"
"貓空","貓空","29"
"獎金","獎金","29"
"地方","地方","29"
"家長","家長","29"
"改善","改善","29"
"成長","成長","29"
"舉辦","舉辦","29"
"萬戶","萬戶","28"
"萬隆","萬隆","28"
"警察","警察","28"
"蘋果","蘋果","28"
"社會局","社會局","28"
"記者","記者","28"
"提供","提供","28"
"消毒","消毒","28"
"不過","不過","27"
"當時","當時","27"
"小學","小學","27"
"新黨","新黨","27"
"參選人","參選人","27"
"基隆","基隆","27"
"房型","房型","27"
"捷運","捷運","27"
"資訊","資訊","27"
"事情","事情","27"
"昨天","昨天","27"
"但是","但是","27"
"城市","城市","26"
"凌晨","凌晨","26"
"大學","大學","26"
"的話","的話","26"
"因此","因此","26"
"一直","一直","26"
"大地處","大地處","26"
"代表","代表","26"
"道路","道路","26"
"興隆","興隆","26"
"管理","管理","26"
"公布","公布","26"
"產業","產業","26"
"需要","需要","26"
"租金","租金","26"
"紙箱","紙箱","26"
"女兒","女兒","26"
"公共空間","公共空間","26"
"醫生","醫生","25"
"第一","第一","25"
"同意","同意","25"
"高男","高男","25"
"降雨","降雨","25"
"收托","收托","25"
"辛亥路","辛亥路","25"
"然後","然後","25"
"公館","公館","25"
"不要","不要","25"
"工程","工程","25"
"政策","政策","25"
"好像","好像","25"
"信義區","信義區","25"
"明年","明年","24"
"搬走","搬走","24"
"人口","人口","24"
"孩子","孩子","24"
"小時","小時","24"
"指出","指出","24"
"局長","局長","24"
"基地","基地","24"
"公共住宅","公共住宅","23"
"蔡英文","蔡英文","23"
"薪資","薪資","23"
"的問題","的問題","23"
"男子","男子","23"
"權責機關","權責機關","23"
"通知","通知","23"
"開幕","開幕","23"
"巨石","巨石","23"
"同學","同學","23"
"不知道","不知道","23"
"選擇","選擇","23"
"購屋","購屋","23"
"住戶","住戶","23"
"淡水","淡水","23"
"公頃","公頃","22"
"住在","住在","22"
"合併","合併","22"
"父母","父母","22"
"推動","推動","22"
"朱立倫","朱立倫","22"
"反對","反對","22"
"症狀","症狀","22"
"提出","提出","22"
"逃逸","逃逸","22"
"林洲民","林洲民","22"
"水利處","水利處","22"
"課程","課程","22"
"了解","了解","22"
"我覺得","我覺得","21"
"原水濁度","原水濁度","21"
"投資","投資","21"
"中心","中心","21"
"出現","出現","21"
"中山","中山","21"
"宜蘭","宜蘭","21"
"建設","建設","21"
"停電","停電","21"
"病例","病例","21"
"牙醫","牙醫","21"
"屋主","屋主","21"
"里民","里民","21"
"記者姜翔翻攝","記者姜翔翻攝","21"
"萬善堂","萬善堂","21"
"經驗","經驗","21"
"報名","報名","21"
"中國","中國","21"
"晚上","晚上","21"
"晚間","晚間","21"
"上午","上午","21"
"時候","時候","21"
"參加","參加","21"
"去年","去年","20"
"城博","城博","20"
"提案人","提案人","20"
"個月","個月","20"
"全部","全部","20"
"指數","指數","20"
"交易","交易","20"
"私校","私校","20"
"議會","議會","20"
"不能","不能","20"
"臺灣","臺灣","20"
"我是","我是","20"
"改革","改革","20"
"公立","公立","20"
"主席裁示","主席裁示","20"
"市中心","市中心","20"
"婦人","婦人","20"
"新北","新北","19"
"首長","首長","19"
"口味","口味","19"
"防災","防災","19"
"交易量","交易量","19"
"公尺","公尺","19"
"陳男","陳男","19"
