"name","word","count"
"台北","台北","285"
"可以","可以","281"
"北市","北市","217"
"萬元","萬元","213"
"中山","中山","182"
"台北市","台北市","167"
"時間","時間","160"
"餐廳","餐廳","146"
"中山區","中山區","144"
"我們","我們","141"
"台灣","台灣","127"
"沒有","沒有","125"
"基隆","基隆","121"
"因為","因為","117"
"表示","表示","115"
"咖啡","咖啡","115"
"就是","就是","107"
"活動","活動","104"
"還有","還有","99"
"所以","所以","97"
"今年","今年","93"
"地址","地址","91"
"豪宅","豪宅","91"
"交易","交易","84"
"報名","報名","83"
"里長","里長","83"
"日本","日本","82"
"拉麵","拉麵","79"
"空間","空間","78"
"民眾","民眾","78"
"真的","真的","77"
"警方","警方","77"
"非常","非常","75"
"注中獎","注中獎","74"
"不過","不過","72"
"每注可得","每注可得","72"
"覺得","覺得","71"
"山區","山區","65"
"料理","料理","65"
"林男","林男","65"
"停水","停水","64"
"每坪","每坪","64"
"課程","課程","64"
"推薦","推薦","62"
"服務","服務","62"
"老闆","老闆","60"
"比較","比較","59"
"分享","分享","59"
"起來","起來","58"
"自己","自己","58"
"使用","使用","58"
"社區","社區","57"
"也是","也是","57"
"大安區","大安區","55"
"房價","房價","54"
"瑜珈","瑜珈","54"
"海鮮","海鮮","53"
"市場","市場","51"
"基隆市","基隆市","51"
"國民黨","國民黨","50"
"如果","如果","50"
"價格","價格","49"
"都是","都是","49"
"朋友","朋友","49"
"好吃","好吃","48"
"口感","口感","48"
"設計","設計","47"
"新北市","新北市","46"
"毒品","毒品","46"
"牛排","牛排","46"
"號電話","號電話","46"
"捷運","捷運","45"
"還是","還是","45"
"甜點","甜點","44"
"喜歡","喜歡","44"
"他們","他們","44"
"搭配","搭配","44"
"成交","成交","43"
"蔣萬安","蔣萬安","43"
"土地","土地","43"
"交易量","交易量","42"
"提供","提供","42"
"開幕","開幕","41"
"被害人","被害人","41"
"電話","電話","41"
"獎共","獎共","41"
"飯店","飯店","41"
"合作","合作","40"
"不會","不會","40"
"看到","看到","40"
"選舉","選舉","40"
"適合","適合","40"
"用餐","用餐","40"
"工作","工作","40"
"信義區","信義區","40"
"民進黨","民進黨","39"
"資料","資料","38"
"大家","大家","38"
"消費","消費","38"
"湯頭","湯頭","38"
"口味","口味","37"
"學生","學生","37"
"不是","不是","37"
"房市","房市","37"
"選擇","選擇","37"
"很多","很多","36"
"大直","大直","36"
"個案","個案","35"
"酒店","酒店","35"
"食家","食家","35"
"品牌","品牌","34"
"我覺得","我覺得","34"
"億元","億元","34"
"雖然","雖然","34"
"但是","但是","34"
"市府","市府","33"
"男子","男子","33"
"其實","其實","33"
"公車","公車","33"
"第一","第一","32"
"立委","立委","32"
"延伸閱讀","延伸閱讀","32"
"沾麵","沾麵","32"
"問題","問題","32"
"商圈","商圈","32"
"的話","的話","31"
"套餐","套餐","31"
"未來","未來","31"
"參加","參加","31"
"議員","議員","30"
"該處","該處","30"
"火鍋","火鍋","30"
"感覺","感覺","30"
"生活","生活","30"
"沙拉","沙拉","30"
"這裡","這裡","30"
"小時","小時","30"
"以及","以及","30"
"現在","現在","30"
"也有","也有","30"
"一個","一個","29"
"美味","美味","29"
"保母","保母","29"
"只要","只要","29"
"老師","老師","29"
"參選","參選","28"
"社區公共保母","社區公共保母","28"
"練習","練習","28"
"交通","交通","28"
"衛生局","衛生局","28"
"毛毛","毛毛","28"
"繳納","繳納","27"
"目前","目前","27"
"陳男","陳男","27"
"桃園","桃園","27"
"壽司","壽司","27"革熱","登革熱","26"
"知道","知道","26"
"作品","作品","26"
"巧克力","巧克力","26"
"食材","食材","26"
"抹茶","抹茶","26"
"發現","發現","25"
"的是","的是","25"
"也不","也不","25"
"相當","相當","25"
"柑仔店","柑仔店","25"
"應該","應該","25"
"分鐘","分鐘","25"
"產業","產業","25"
"工程","工程","25"
"住宅","住宅","25"
"希望","希望","24"
"分析","分析","24"
"規定","規定","24"
"支持","支持","24"
"而且","而且","24"
"一樣","一樣","24"
