"name","word","count"
"萬元","萬元","400"
"台北","台北","321"
"北市","北市","243"
"台北市","台北市","197"
"基隆","基隆","186"
"表示","表示","169"
"可以","可以","142"
"每坪","每坪","125"
"房價","房價","124"
"時間","時間","123"
"台灣","台灣","122"
"王如玄","王如玄","106"
"就是","就是","103"
"中正","中正","94"
"今年","今年","90"
"民眾","民眾","86"
"地址","地址","84"
"好吃","好吃","80"
"沒有","沒有","72"
"我們","我們","70"
"議員","議員","69"
"收費","收費","69"
"警方","警方","68"
"立委","立委","66"
"學生","學生","66"
"捷運","捷運","65"
"基隆市","基隆市","60"
"柯文哲","柯文哲","60"
"發展","發展","60"
"豬排","豬排","59"
"活動","活動","59"
"個案","個案","57"
"都更","都更","55"
"日本","日本","55"
"咖啡","咖啡","53"
"拉麵","拉麵","52"
"市場","市場","51"
"陳建仁","陳建仁","51"
"分享","分享","51"
"國民黨","國民黨","50"
"因為","因為","49"
"食家","食家","49"
"鉛管","鉛管","47"
"生活","生活","47"
"餐廳","餐廳","47"
"服務","服務","47"
"目前","目前","46"
"居民","居民","46"
"林昶佐","林昶佐","46"
"停水","停水","45"
"中正區","中正區","45"
"還有","還有","45"
"土地","土地","45"
"號電話","號電話","45"
"比較","比較","44"
"大安區","大安區","44"
"信義區","信義區","44"
"申報","申報","43"
"起來","起來","42"
"登革熱","登革熱","42"
"非常","非常","42"
"相當","相當","42"
"不過","不過","42"
"億元","億元","41"
"毒品","毒品","41"
"參選人","參選人","41"
"味道","味道","40"
"規劃","規劃","40"
"而且","而且","40"
"新北市","新北市","40"
"民進黨","民進黨","39"
"拆除","拆除","39"
"自己","自己","39"
"店家","店家","38"
"價格","價格","38"
"選舉","選舉","38"
"空間","空間","38"
"搭配","搭配","38"
"發現","發現","37"
"資料","資料","37"
"交通","交通","37"
"房市","房市","37"
"電話","電話","36"
"軍宅","軍宅","36"
"萬餘元","萬餘元","36"
"交易","交易","36"
"創作","創作","36"
"以及","以及","36"
"推薦","推薦","36"
"建物","建物","36"
"參選","參選","35"
"山區","山區","35"
"段宜康","段宜康","35"
"投資","投資","34"
"吃起來","吃起來","34"
"料理","料理","34"
"公司","公司","34"
"認為","認為","34"
"覺得","覺得","34"
"現在","現在","34"
"不同","不同","32"
"作品","作品","32"
"申請","申請","32"
"蔡英文","蔡英文","31"
"不會","不會","31"
"國小","國小","31"
"還是","還是","31"
"設計","設計","31"
"區域","區域","30"
"郝龍斌","郝龍斌","30"
"口感","口感","30"
"報名","報名","30"
"附近","附近","30"
"商圈","商圈","30"
"修正","修正","30"
"大樓","大樓","29"
"大學里","大學里","29"
"大家","大家","29"
"都是","都是","29"
"社會","社會","29"
"里長","里長","29"
"跌幅","跌幅","29"
"成交","成交","28"
"用餐","用餐","28"
"的人","的人","28"
"華山","華山","28"
"希望","希望","27"
"影響","影響","27"
"這次","這次","27"
"展覽","展覽","27"
"銀行","銀行","27"
"單價","單價","27"
"朋友","朋友","27"
"昨天","昨天","27"
"許志堅","許志堅","26"
"個人","個人","26"
"魯肉飯","魯肉飯","26"
"所以","所以","26"
"咖哩","咖哩","26"
"公園","公園","26"
"自來水","自來水","26"
"市府","市府","26"
"警衛","警衛","26"
"食材","食材","26"
"中國","中國","26"
"產品","產品","26"
"均價","均價","25"
"起司","起司","25"
"下跌","下跌","25"
"這樣","這樣","25"
